"","Population.Code","Region.Country.Area","Year","Series","Value","Footnotes","Source"
"13",8,"Albania",2005,"Current health expenditure (% of GDP)",5.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"14",8,"Albania",2010,"Current health expenditure (% of GDP)",6.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"15",8,"Albania",2005,"Domestic general government health expenditure (% of total government expenditure)",9.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"16",8,"Albania",2010,"Domestic general government health expenditure (% of total government expenditure)",8.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"17",8,"Albania",2015,"Domestic general government health expenditure (% of total government expenditure)",8.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"18",8,"Albania",2018,"Domestic general government health expenditure (% of total government expenditure)",9.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"19",8,"Albania",2019,"Domestic general government health expenditure (% of total government expenditure)",9.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"20",8,"Albania",2020,"Domestic general government health expenditure (% of total government expenditure)",9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"21",12,"Algeria",2005,"Current health expenditure (% of GDP)",3.2,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"22",12,"Algeria",2010,"Current health expenditure (% of GDP)",5.1,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"23",12,"Algeria",2015,"Current health expenditure (% of GDP)",7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"24",12,"Algeria",2018,"Current health expenditure (% of GDP)",6.2,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"25",12,"Algeria",2019,"Current health expenditure (% of GDP)",6.3,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"26",12,"Algeria",2020,"Current health expenditure (% of GDP)",6.3,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"27",12,"Algeria",2005,"Domestic general government health expenditure (% of total government expenditure)",8.3,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"28",12,"Algeria",2010,"Domestic general government health expenditure (% of total government expenditure)",9.5,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"29",12,"Algeria",2015,"Domestic general government health expenditure (% of total government expenditure)",10.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"30",12,"Algeria",2018,"Domestic general government health expenditure (% of total government expenditure)",10.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"31",12,"Algeria",2019,"Domestic general government health expenditure (% of total government expenditure)",10.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"32",12,"Algeria",2020,"Domestic general government health expenditure (% of total government expenditure)",10.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"33",20,"Andorra",2005,"Current health expenditure (% of GDP)",5.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"34",20,"Andorra",2010,"Current health expenditure (% of GDP)",7.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"35",20,"Andorra",2015,"Current health expenditure (% of GDP)",7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"36",20,"Andorra",2018,"Current health expenditure (% of GDP)",7.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"37",20,"Andorra",2019,"Current health expenditure (% of GDP)",7.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"38",20,"Andorra",2020,"Current health expenditure (% of GDP)",9.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"39",20,"Andorra",2005,"Domestic general government health expenditure (% of total government expenditure)",18.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"40",20,"Andorra",2010,"Domestic general government health expenditure (% of total government expenditure)",25.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"41",20,"Andorra",2015,"Domestic general government health expenditure (% of total government expenditure)",16.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"42",20,"Andorra",2018,"Domestic general government health expenditure (% of total government expenditure)",14.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"43",20,"Andorra",2019,"Domestic general government health expenditure (% of total government expenditure)",14.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"44",20,"Andorra",2020,"Domestic general government health expenditure (% of total government expenditure)",15.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"45",24,"Angola",2005,"Current health expenditure (% of GDP)",2.9,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"46",24,"Angola",2010,"Current health expenditure (% of GDP)",2.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"47",24,"Angola",2015,"Current health expenditure (% of GDP)",2.6,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"48",24,"Angola",2018,"Current health expenditure (% of GDP)",2.6,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"49",24,"Angola",2019,"Current health expenditure (% of GDP)",2.7,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"50",24,"Angola",2020,"Current health expenditure (% of GDP)",2.9,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"51",24,"Angola",2005,"Domestic general government health expenditure (% of total government expenditure)",4.8,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"52",24,"Angola",2010,"Domestic general government health expenditure (% of total government expenditure)",4.2,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"53",24,"Angola",2015,"Domestic general government health expenditure (% of total government expenditure)",4.6,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"54",24,"Angola",2018,"Domestic general government health expenditure (% of total government expenditure)",5.4,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"55",24,"Angola",2019,"Domestic general government health expenditure (% of total government expenditure)",5.4,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"56",24,"Angola",2020,"Domestic general government health expenditure (% of total government expenditure)",5.4,"Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"57",28,"Antigua and Barbuda",2005,"Current health expenditure (% of GDP)",5,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"58",28,"Antigua and Barbuda",2010,"Current health expenditure (% of GDP)",5.4,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"59",28,"Antigua and Barbuda",2015,"Current health expenditure (% of GDP)",5.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"60",28,"Antigua and Barbuda",2018,"Current health expenditure (% of GDP)",4.8,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"61",28,"Antigua and Barbuda",2019,"Current health expenditure (% of GDP)",4.4,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"62",28,"Antigua and Barbuda",2020,"Current health expenditure (% of GDP)",5.6,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"63",28,"Antigua and Barbuda",2005,"Domestic general government health expenditure (% of total government expenditure)",11.5,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"64",28,"Antigua and Barbuda",2010,"Domestic general government health expenditure (% of total government expenditure)",13.9,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"65",28,"Antigua and Barbuda",2015,"Domestic general government health expenditure (% of total government expenditure)",11.8,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"66",28,"Antigua and Barbuda",2018,"Domestic general government health expenditure (% of total government expenditure)",13.1,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"67",28,"Antigua and Barbuda",2019,"Domestic general government health expenditure (% of total government expenditure)",11.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"68",28,"Antigua and Barbuda",2020,"Domestic general government health expenditure (% of total government expenditure)",12.6,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"69",32,"Argentina",2005,"Current health expenditure (% of GDP)",7.6,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"70",32,"Argentina",2010,"Current health expenditure (% of GDP)",9.4,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"71",32,"Argentina",2015,"Current health expenditure (% of GDP)",10.2,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"72",32,"Argentina",2018,"Current health expenditure (% of GDP)",9.5,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"73",32,"Argentina",2019,"Current health expenditure (% of GDP)",9.5,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"74",32,"Argentina",2020,"Current health expenditure (% of GDP)",10,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"75",32,"Argentina",2005,"Domestic general government health expenditure (% of total government expenditure)",16,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"76",32,"Argentina",2010,"Domestic general government health expenditure (% of total government expenditure)",16.7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"77",32,"Argentina",2015,"Domestic general government health expenditure (% of total government expenditure)",16.5,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"78",32,"Argentina",2018,"Domestic general government health expenditure (% of total government expenditure)",15.3,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"79",32,"Argentina",2019,"Domestic general government health expenditure (% of total government expenditure)",16.1,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"80",32,"Argentina",2020,"Domestic general government health expenditure (% of total government expenditure)",15.7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"81",51,"Armenia",2005,"Current health expenditure (% of GDP)",5.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"82",51,"Armenia",2010,"Current health expenditure (% of GDP)",9.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"83",51,"Armenia",2015,"Current health expenditure (% of GDP)",10.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"84",51,"Armenia",2018,"Current health expenditure (% of GDP)",10,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"85",51,"Armenia",2019,"Current health expenditure (% of GDP)",11.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"86",51,"Armenia",2020,"Current health expenditure (% of GDP)",12.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"87",51,"Armenia",2005,"Domestic general government health expenditure (% of total government expenditure)",7.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"88",51,"Armenia",2010,"Domestic general government health expenditure (% of total government expenditure)",6.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"89",51,"Armenia",2015,"Domestic general government health expenditure (% of total government expenditure)",6.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"90",51,"Armenia",2018,"Domestic general government health expenditure (% of total government expenditure)",5.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"91",51,"Armenia",2019,"Domestic general government health expenditure (% of total government expenditure)",5.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"92",51,"Armenia",2020,"Domestic general government health expenditure (% of total government expenditure)",7.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"93",36,"Australia",2005,"Current health expenditure (% of GDP)",8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"94",36,"Australia",2010,"Current health expenditure (% of GDP)",8.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"95",36,"Australia",2015,"Current health expenditure (% of GDP)",10.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"96",36,"Australia",2018,"Current health expenditure (% of GDP)",10.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"97",36,"Australia",2019,"Current health expenditure (% of GDP)",10.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"98",36,"Australia",2020,"Current health expenditure (% of GDP)",10.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"99",36,"Australia",2005,"Domestic general government health expenditure (% of total government expenditure)",15.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"100",36,"Australia",2010,"Domestic general government health expenditure (% of total government expenditure)",16.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"101",36,"Australia",2015,"Domestic general government health expenditure (% of total government expenditure)",18.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"102",36,"Australia",2018,"Domestic general government health expenditure (% of total government expenditure)",18.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"103",36,"Australia",2019,"Domestic general government health expenditure (% of total government expenditure)",17.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"104",36,"Australia",2020,"Domestic general government health expenditure (% of total government expenditure)",17.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"105",40,"Austria",2005,"Current health expenditure (% of GDP)",9.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"106",40,"Austria",2010,"Current health expenditure (% of GDP)",10.2,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"107",40,"Austria",2015,"Current health expenditure (% of GDP)",10.4,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"108",40,"Austria",2018,"Current health expenditure (% of GDP)",10.3,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"109",40,"Austria",2019,"Current health expenditure (% of GDP)",10.5,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"110",40,"Austria",2020,"Current health expenditure (% of GDP)",11.5,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"111",40,"Austria",2005,"Domestic general government health expenditure (% of total government expenditure)",13.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"112",40,"Austria",2010,"Domestic general government health expenditure (% of total government expenditure)",14,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"113",40,"Austria",2015,"Domestic general government health expenditure (% of total government expenditure)",14.7,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"114",40,"Austria",2018,"Domestic general government health expenditure (% of total government expenditure)",15.8,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"115",40,"Austria",2019,"Domestic general government health expenditure (% of total government expenditure)",16.2,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"116",40,"Austria",2020,"Domestic general government health expenditure (% of total government expenditure)",15.4,"Data revision.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"117",31,"Azerbaijan",2005,"Current health expenditure (% of GDP)",2.3,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"118",31,"Azerbaijan",2010,"Current health expenditure (% of GDP)",2.5,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"119",31,"Azerbaijan",2015,"Current health expenditure (% of GDP)",4.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"120",31,"Azerbaijan",2018,"Current health expenditure (% of GDP)",3.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"121",31,"Azerbaijan",2019,"Current health expenditure (% of GDP)",4.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"122",31,"Azerbaijan",2020,"Current health expenditure (% of GDP)",4.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"123",31,"Azerbaijan",2005,"Domestic general government health expenditure (% of total government expenditure)",4.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"124",31,"Azerbaijan",2010,"Domestic general government health expenditure (% of total government expenditure)",3.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"125",31,"Azerbaijan",2015,"Domestic general government health expenditure (% of total government expenditure)",3.4,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"126",31,"Azerbaijan",2018,"Domestic general government health expenditure (% of total government expenditure)",2.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"127",31,"Azerbaijan",2019,"Domestic general government health expenditure (% of total government expenditure)",3.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"128",31,"Azerbaijan",2020,"Domestic general government health expenditure (% of total government expenditure)",3.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"129",44,"Bahamas",2005,"Current health expenditure (% of GDP)",4,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"130",44,"Bahamas",2010,"Current health expenditure (% of GDP)",5.3,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"131",44,"Bahamas",2015,"Current health expenditure (% of GDP)",5.1,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"132",44,"Bahamas",2018,"Current health expenditure (% of GDP)",6,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"133",44,"Bahamas",2019,"Current health expenditure (% of GDP)",5.9,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"134",44,"Bahamas",2020,"Current health expenditure (% of GDP)",7.6,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"135",44,"Bahamas",2005,"Domestic general government health expenditure (% of total government expenditure)",12.9,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"136",44,"Bahamas",2010,"Domestic general government health expenditure (% of total government expenditure)",15.4,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"137",44,"Bahamas",2015,"Domestic general government health expenditure (% of total government expenditure)",13.7,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"138",44,"Bahamas",2018,"Domestic general government health expenditure (% of total government expenditure)",15.7,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"139",44,"Bahamas",2019,"Domestic general government health expenditure (% of total government expenditure)",15.3,"Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
